Date	Name	Location	Amount
10/21/2023	BaskinRobins	Phoenix Arizona	36.74
10/21/2023	BaskinRobins	Phoenix Arizona	4.31
10/21/2023	Frys	Phoenix Arizona	10.75
10/22/2023	APS(Power)	Phoenix Arizona	131.77
10/22/2023	LinsGrandBuffet	Phoenix Arizona	17.21
10/27/2023	PandaExpress	Phoenix Arizona	10.49
10/27/2023	Walmart	Phoenix Arizona	27.07
10/27/2023	BoardgameArena	Phoenix Arizona	5.00
10/28/2023	99CentStore	Phoenix Arizona	4.59
10/28/2023	Walmart	Phoenix Arizona	8.63
10/28/2023	Chevron	Phoenix Arizona	2.04
10/31/2023	Frys	Phoenix Arizona	12.63
11/3/2023	Shell	Phoenix Arizona	53.00
11/3/2023	HarkinsTheatre	Phoenix Arizona	42.75
11/3/2023	Barbershop	Phoenix Arizona	30.00
11/3/2023	Circle K	Phoenix Arizona	1.51
11/3/2023	LinsGrandBuffet	Phoenix Arizona	17.21
11/3/2023	Walmart	Phoenix Arizona	1.83
11/3/2023	Circle K	Phoenix Arizona	9.73
11/4/2023	Metro	Phoenix Arizona	2.00
11/4/2023	United Airlines	Phoenix Arizona	35.00
11/10/2023	Eagles Nest Pizza	Red Bluff	31.37
11/14/2023	T-Mobile	Red Bluff	20.00
11/17/2023	CenturyLink	Red Bluff	49.00
11/20/2023	Dollar Tree	Red Bluff	5.32
11/20/2023	Headies pizza and Po	Red Bluff	37.25
11/21/2023	McDonalds	Red Bluff	5.09
11/21/2023	Dollar Tree	Red Bluff	1.35
11/24/2023	APS(Power)	Phoenix Arizona	114.71
11/24/2023	SWGas	Phoenix Arizona	25.54
11/25/2023	home depot	Red Bluff	11.94
11/27/2023	BoardgameArena	Red Bluff	5.00
11/27/2023	BaskinRobins	Red Bluff	8.99
11/27/2023	home depot	Red Bluff	7.80
11/28/2023	Shell	Red Bluff	53.00
11/28/2023	Dollar Tree	Red Bluff	3.94
12/1/2023	HemiSync	Red Bluff	565.95
12/2/2023	Shell	Red Bluff	1.95
12/8/2023	OneStopGas&Food	Red Bluff	2.60
12/14/2023	T-Mobile	Red Bluff	20.00
12/17/2023	CenturyLink	Red Bluff	49.00
12/18/2023	BaskinRobins	Red Bluff	9.89
12/22/2023	BaskinRobins	Red Bluff	8.99
12/23/2023	FoodMaxx	Red Bluff	2.79
12/27/2023	BoardgameArena	Red Bluff	5.00
12/29/2023	FoodMaxx	Red Bluff	2.49
12/29/2023	APS(Power)	Phoenix Arizona	27.13
12/29/2023	SWGas	Phoenix Arizona	21.16
12/30/2023	Luigis	Red Bluff	10.48
1/1/2024	Prime Cinemas	Red Bluff	4.75
1/3/2024	KingleyNorthLapidary	Red Bluff	102.45
1/7/2024	FoodMaxx	Red Bluff	8.37
1/12/2024	Falling Prices Red Bluff	Red Bluff	9.00
1/14/2024	T-Mobile	Red Bluff	20.00
1/16/2024	SWGas	Phoenix Arizona	25.51
1/17/2024	APS(Power)	Phoenix Arizona	30.14
1/17/2024	CenturyLink	Phoenix Arizona	49.00
1/21/2024	Shell	Phoenix Arizona	2.99
1/22/2024	OReilly Auto Parts	Phoenix Arizona	19.45
1/23/2024	Pride Gas	Phoenix Arizona	30.00
1/23/2024	Walmart	Phoenix Arizona	44.24
1/23/2024	Ace Hardware	Phoenix Arizona	3.89
1/24/2024	Culvers	Phoenix Arizona	32.94
1/24/2024	Culvers	Phoenix Arizona	6.80
1/24/2024	LinsGrandBuffet	Phoenix Arizona	62.64
1/24/2024	LinsGrandBuffet	Phoenix Arizona	17.64
1/26/2024	Staples	Phoenix Arizona	0.27
1/27/2024	BoardgameArena	Phoenix Arizona	5.00
1/29/2024	Luigis	Red Bluff	43.16
1/31/2024	Ramos Donut House	Red Bluff	2.68
2/3/2024	Walmart	Red Bluff	56.38
2/6/2024	Walmart	Red Bluff	2.26
2/6/2024	Dollar Tree	Red Bluff	2.50
2/7/2024	Chevron	Red Bluff	49.01
2/10/2024	Dollar Tree	Red Bluff	2.50
2/10/2024	Falling Prices Red Bluff	Red Bluff	0.27
2/11/2024	USPS	Red Bluff	1.10
2/11/2024	APS(Power)	Red Bluff	49.04
2/12/2024	Chevron	Red Bluff	42.00
2/12/2024	Hampton Inn	Red Bluff	170.47
2/14/2024	T-Mobile	Red Bluff	20.00
2/17/2024	Dollar Tree	Red Bluff	7.50
2/17/2024	CenturyLink	Phoenix Arizona	49.00
2/17/2024	Falling Prices Red Bluff	Red Bluff	0.54
2/17/2024	BaskinRobins	Red Bluff	8.99
2/18/2024	OneStopGas&Food	Red Bluff	82.00
2/18/2024	OneStopGas&Food	Red Bluff	126.66
2/19/2024	Yubico	Red Bluff	63.43
2/24/2024	BaskinRobins	Red Bluff	8.99
2/25/2024	FoodMaxx	Red Bluff	7.38
2/25/2024	OReilly Auto Parts	Red Bluff	16.44
2/25/2024	APS(Power)	Phoenix Arizona	34.20
2/25/2024	SWGas	Phoenix Arizona	34.20
2/27/2024	Ramos Donut House	Red Bluff	13.81
2/27/2024	IdentiGo Fingerprinting	Red Bluff	39.95
2/27/2024	BoardgameArena	Red Bluff	5.00
2/28/2024	Katrina Eglian Dentist	Red Bluff	257.00
3/3/2024	OneStopGas&Food	Red Bluff	61.00
3/8/2024	Ramos Donut House	Red Bluff	2.68
3/8/2024	UPS	Red Bluff	15.00
3/8/2024	Office Depot	Red Bluff	64.34
3/9/2024	FoodMaxx	Red Bluff	5.58
3/9/2024	BurritoBandito	Red Bluff	29.02
3/9/2024	BaskinRobins	Red Bluff	8.99
3/10/2024	OneStopGas&Food	Red Bluff	16.00
3/14/2024	T-Mobile	Red Bluff	20.00
3/16/2024	GrandBuffet	Red Bluff	52.00
3/17/2024	BaskinRobins	Red Bluff	8.99
3/22/2024	Dollar Tree	Red Bluff	25.1
3/22/2024	BaskinRobins	Red Bluff	20.00
3/23/2024	Dollar Tree	Red Bluff	5
3/23/2024	Prime Cinemas	Red Bluff	1.5
3/23/2024	OneStopGas&Food	Red Bluff	34.00
3/24/2024	Dysney Plus	Red Bluff	13.99
3/27/2024	BoardgameArena	Red Bluff	5.00
3/29/2024	Luigis	Red Bluff	62.14
